Lat,Long,Elevation
77.575,17.0829,575
77.5917,17.0829,583
77.6083,17.0829,569
77.625,17.0829,545
77.6417,17.0829,535
77.6583,17.0829,551
77.675,17.0829,559
77.6917,17.0829,569
77.7083,17.0829,561
77.725,17.0829,549
77.7417,17.0829,559
77.7583,17.0829,563
77.775,17.0829,557
77.7917,17.0829,555
77.8083,17.0829,559
77.825,17.0829,563
77.8417,17.0829,573
77.8583,17.0829,579
77.875,17.0829,587
77.8917,17.0829,597
77.9083,17.0829,603
77.925,17.0829,629
77.9417,17.0829,657
77.9583,17.0829,665
77.975,17.0829,655
77.9917,17.0829,653
78.0083,17.0829,651
78.025,17.0829,651
78.0417,17.0829,641
78.0583,17.0829,645
78.075,17.0829,645
78.0917,17.0829,647
78.1083,17.0829,651
78.125,17.0829,661
78.1417,17.0829,657
78.1583,17.0829,645
78.175,17.0829,637
78.1917,17.0829,633
78.2083,17.0829,637
78.225,17.0829,627
78.2417,17.0829,625
78.2583,17.0829,631
78.275,17.0829,639
78.2917,17.0829,641
78.3083,17.0829,643
77.1083,17.0669,455
77.125,17.0669,459
77.1417,17.0669,463
77.1583,17.0669,463
77.175,17.0669,463
77.1917,17.0669,465
77.2083,17.0669,465
77.225,17.0669,465
77.2417,17.0669,469
77.2583,17.0669,467
77.275,17.0669,451
77.2917,17.0669,443
77.3083,17.0669,443
77.325,17.0669,451
77.3417,17.0669,451
77.3583,17.0669,457
77.375,17.0669,459
77.3917,17.0669,467
77.4083,17.0669,475
77.425,17.0669,479
77.4417,17.0669,487
77.4583,17.0669,511
77.475,17.0669,529
77.4917,17.0669,537
77.5083,17.0669,559
77.525,17.0669,569
77.5417,17.0669,571
77.5583,17.0669,581
77.575,17.0669,581
77.5917,17.0669,563
77.6083,17.0669,551
77.625,17.0669,539
77.6417,17.0669,529
77.6583,17.0669,539
77.675,17.0669,551
77.6917,17.0669,557
77.7083,17.0669,557
77.725,17.0669,565
77.7417,17.0669,575
77.7583,17.0669,583
77.775,17.0669,581
77.7917,17.0669,569
77.8083,17.0669,569
77.825,17.0669,569
77.8417,17.0669,581
77.8583,17.0669,599
77.875,17.0669,613
77.8917,17.0669,615
77.9083,17.0669,621
77.925,17.0669,635
77.9417,17.0669,655
77.9583,17.0669,653
77.975,17.0669,645
77.9917,17.0669,639
78.0083,17.0669,645
78.025,17.0669,639
78.0417,17.0669,631
78.0583,17.0669,633
78.075,17.0669,637
78.0917,17.0669,629
78.1083,17.0669,639
78.125,17.0669,645
78.1417,17.0669,647
78.1583,17.0669,645
78.175,17.0669,647
78.1917,17.0669,645
78.2083,17.0669,649
78.225,17.0669,639
78.2417,17.0669,639
78.2583,17.0669,631
78.275,17.0669,649
78.2917,17.0669,655
78.3083,17.0669,663
77.1083,17.051,455
77.125,17.051,463
77.1417,17.051,471
77.1583,17.051,475
77.175,17.051,475
77.1917,17.051,473
77.2083,17.051,473
77.225,17.051,477
77.2417,17.051,479
77.2583,17.051,467
77.275,17.051,457
77.2917,17.051,451
77.3083,17.051,449
77.325,17.051,457
77.3417,17.051,461
77.3583,17.051,463
77.375,17.051,471
77.3917,17.051,475
77.4083,17.051,481
77.425,17.051,489
77.4417,17.051,497
77.4583,17.051,531
77.475,17.051,567
77.4917,17.051,571
77.5083,17.051,579
77.525,17.051,585
77.5417,17.051,583
77.5583,17.051,563
77.575,17.051,555
77.5917,17.051,553
77.6083,17.051,539
77.625,17.051,529
77.6417,17.051,523
77.6583,17.051,533
77.675,17.051,539
77.6917,17.051,535
77.7083,17.051,543
77.725,17.051,555
77.7417,17.051,569
77.7583,17.051,581
77.775,17.051,589
77.7917,17.051,585
77.8083,17.051,585
77.825,17.051,575
77.8417,17.051,581
77.8583,17.051,595
77.875,17.051,619
77.8917,17.051,639
77.9083,17.051,655
77.925,17.051,643
77.9417,17.051,651
77.9583,17.051,651
77.975,17.051,643
77.9917,17.051,639
78.0083,17.051,627
78.025,17.051,623
78.0417,17.051,621
78.0583,17.051,621
78.075,17.051,623
78.0917,17.051,615
78.1083,17.051,625
78.125,17.051,625
78.1417,17.051,635
78.1583,17.051,635
78.175,17.051,623
78.1917,17.051,635
78.2083,17.051,637
78.225,17.051,647
78.2417,17.051,647
78.2583,17.051,639
78.275,17.051,645
78.2917,17.051,659
78.3083,17.051,671
77.1083,17.0351,447
77.125,17.0351,459
77.1417,17.0351,471
77.1583,17.0351,481
77.175,17.0351,487
77.1917,17.0351,483
77.2083,17.0351,487
77.225,17.0351,497
77.2417,17.0351,485
77.2583,17.0351,471
77.275,17.0351,465
77.2917,17.0351,463
77.3083,17.0351,455
77.325,17.0351,465
77.3417,17.0351,471
77.3583,17.0351,471
77.375,17.0351,479
77.3917,17.0351,489
77.4083,17.0351,495
77.425,17.0351,503
77.4417,17.0351,515
77.4583,17.0351,545
77.475,17.0351,589
77.4917,17.0351,585
77.5083,17.0351,599
77.525,17.0351,589
77.5417,17.0351,569
77.5583,17.0351,557
77.575,17.0351,545
77.5917,17.0351,537
77.6083,17.0351,535
77.625,17.0351,527
77.6417,17.0351,519
77.6583,17.0351,525
77.675,17.0351,527
77.6917,17.0351,527
77.7083,17.0351,543
77.725,17.0351,555
77.7417,17.0351,547
77.7583,17.0351,559
77.775,17.0351,571
77.7917,17.0351,579
77.8083,17.0351,585
77.825,17.0351,587
77.8417,17.0351,585
77.8583,17.0351,605
77.875,17.0351,607
77.8917,17.0351,631
77.9083,17.0351,669
77.925,17.0351,663
77.9417,17.0351,667
77.9583,17.0351,673
77.975,17.0351,661
77.9917,17.0351,647
78.0083,17.0351,629
78.025,17.0351,623
78.0417,17.0351,613
78.0583,17.0351,607
78.075,17.0351,605
78.0917,17.0351,605
78.1083,17.0351,609
78.125,17.0351,621
78.1417,17.0351,625
78.1583,17.0351,625
78.175,17.0351,611
78.1917,17.0351,627
78.2083,17.0351,623
78.225,17.0351,627
78.2417,17.0351,641
78.2583,17.0351,649
78.275,17.0351,649
78.2917,17.0351,653
78.3083,17.0351,649
77.1083,17.0191,451
77.125,17.0191,463
77.1417,17.0191,475
77.1583,17.0191,487
77.175,17.0191,495
77.1917,17.0191,499
77.2083,17.0191,507
77.225,17.0191,523
77.2417,17.0191,519
77.2583,17.0191,485
77.275,17.0191,471
77.2917,17.0191,473
77.3083,17.0191,461
77.325,17.0191,469
77.3417,17.0191,479
77.3583,17.0191,483
77.375,17.0191,489
77.3917,17.0191,497
77.4083,17.0191,521
77.425,17.0191,539
77.4417,17.0191,549
77.4583,17.0191,561
77.475,17.0191,581
77.4917,17.0191,599
77.5083,17.0191,601
77.525,17.0191,579
77.5417,17.0191,563
77.5583,17.0191,551
77.575,17.0191,541
77.5917,17.0191,535
77.6083,17.0191,531
77.625,17.0191,523
77.6417,17.0191,515
